ゴミの分別方法_全国地方公共団体コード,ゴミの分別方法_ID,ゴミの分別方法_品目,ゴミの分別方法_分別区分,ゴミの分別方法_注意点,ゴミの分別方法_料金種別,ゴミの分別方法_料金,ゴミの分別方法_料金備考,ゴミの分別方法_備考
272272,,アイスクリーム・バターメーカー,不燃の小物（もえない小物）,業務用は収集できません。,,,,
272272,,アイスピック,不燃の小物（もえない小物）,危険につき、紙等に包んで、「危険」と記載してください。,,,,
272272,,アイスまくら,家庭ごみ(もえる物),,,,,
272272,,アイロン,不燃の小物（もえない小物）,,,,,
272272,,アイロン台,家庭ごみ(もえる物),一辺が30ｃｍ以上のものは原則として大型ごみですが、45ℓのごみ袋に入り、口を縛ることができ、袋が破れない場合は、家庭ごみ（燃える物）で排出可能です。,,,,
272272,,アクセサリー,不燃の小物（もえない小物）,プラスチック製のものは家庭ごみ（もえる物）で排出してください。,,,,
272272,,アコーディオンカーテン,大型ごみ,,,,,
272272,,アタッシュケース,不燃の小物（もえない小物）,一辺が30ｃｍ以上のものは原則として大型ごみですが、45ℓのごみ袋に入り、口を縛ることができ、袋が破れない場合は、不燃の小物として排出可能です。,,,,
272272,,アダプター,小型家電回収ボックス,不燃の小物（もえない小物）でも排出可能です。,,,,
272272,,圧力鍋,不燃の小物（もえない小物）,,,,,
272272,,油の容器(プラスチック),プラスチック製容器包装,汚れが落ちなければ家庭ごみ（もえる物）で排出してください。,,,,
272272,,油類(食用油),回収協力店,"回収スポットにて回収し、リサイクルしています。
詳しくはこちら
https://www.city.higashiosaka.lg.jp/0000035605.html

回収スポットに持ち込めない場合は、紙や布に染み込ませて出すか、市販の凝固剤で固めて、家庭ごみの日に出してください。",,,,
272272,,油類(食用油以外),不可,販売店等に相談してください。,,,,
272272,,雨具(カッパ),家庭ごみ(もえる物),,,,,
272272,,網戸,大型ごみ,,,,,
272272,,編み針(木・プラスチック製),家庭ごみ(もえる物),,,,,
272272,,編み針(金属製),不燃の小物（もえない小物）,危険につき、紙等に包んで、「危険」と記載してください。,,,,
272272,,アルバム,家庭ごみ(もえる物),,,,,
272272,,アルミサッシ,不可,業者に引取りを依頼してください。,,,,
