ごみの分別方法_全国地方公共団体コード,ごみの分別方法_ID,ごみの分別方法_品目,ごみの分別方法_分別区分,ごみの分別方法_注意点,ごみの分別方法_料金種別,ごみの分別方法_料金,ごみの分別方法_料金備考,ごみの分別方法_備考
142034,ff0000000001,IHクッキングヒーター,粗大ごみ,50cm以内は不燃ごみへ。　持ち込む場合は粗大ごみ破砕処理場へ。,-,-,-,-
142034,ff0000000002,ICﾚｺｰﾀﾞ,小型家電,地区公民館及び中央公民館、市役所本館・別館、環境事業センター、リサイクルプラザ、資源回収センターに設置してある小型家電回収ボックスに投入してください。,-,-,-,-
142034,ff0000000003,ｱｲｽｸﾘｰﾑｶｯﾌﾟ（紙製）,古紙類（資源再生物）,,-,-,-,-
142034,ff0000000004,ｱｲｽｸﾘｰﾑｶｯﾌﾟ（ﾌﾟﾗｽﾁｯｸ製）,容器包装ﾌﾟﾗｽﾁｯｸ,,-,-,-,-
142034,ff0000000005,ｱｲｽﾍﾟｰﾙ（金属製）,金属（資源再生物）,,-,-,-,-
142034,ff0000000006,ｱｲｽﾍﾟｰﾙ（ﾌﾟﾗｽﾁｯｸ製）,不燃ごみ,,-,-,-,-
142034,ff0000000007,ｱｲｽｸﾘｰﾑﾒｰｶｰ,不燃ごみ,,-,-,-,-
142034,ff0000000008,ｱｲﾛﾝ（電気型）,小型家電,地区公民館及び中央公民館、市役所本館・別館、環境事業センター、リサイクルプラザ、資源回収センターに設置してある小型家電回収ボックスに投入してください。,-,-,-,-
142034,ff0000000009,ｱｲﾛﾝ台,不燃ごみ,,-,-,-,-
142034,ff0000000010,空き缶,空き缶類（資源再生物）,,-,-,-,-
142034,ff0000000011,ｱｺｰﾃﾞｵﾝｶｰﾃﾝ,粗大ごみ,持ち込む場合は粗大ごみ破砕処理場へ。,-,-,-,-
142034,ff0000000012,脚付きﾏｯﾄﾚｽ,粗大ごみ,持ち込む場合は粗大ごみ破砕処理場へ。,-,-,-,-
142034,ff0000000013,ｱﾀｯｼｭｹｰｽ（金属製）,金属（資源再生物）,,-,-,-,-
142034,ff0000000014,ｱﾀｯｼｭｹｰｽ（プラスチック製）,不燃ごみ,,-,-,-,-
142034,ff0000000015,厚紙,古紙類（資源再生物）,,-,-,-,-
142034,ff0000000016,穴あけﾊﾟﾝﾁ（金属製）,金属（資源再生物）,,-,-,-,-
142034,ff0000000017,穴あけﾊﾟﾝﾁ（ﾌﾟﾗｽﾁｯｸ製）,不燃ごみ,,-,-,-,-
142034,ff0000000018,油（食用以外）,処理困難物,販売店などの専門業者へご相談ください。,-,-,-,-
142034,ff0000000019,油（天ぷら油等）,廃食用油（資源再生物）,,-,-,-,-
142034,ff0000000020,油とり紙,可燃ごみ,,-,-,-,-
142034,ff0000000021,雨合羽,可燃ごみ,30cm以内に裁断してください。,-,-,-,-
142034,ff0000000022,雨戸,粗大ごみ,持ち込む場合は粗大ごみ破砕処理場へ。,-,-,-,-
142034,ff0000000023,編み機,粗大ごみ,50cm以内は不燃ごみへ。　持ち込む場合は粗大ごみ破砕処理場へ。,-,-,-,-
142034,ff0000000024,網戸,粗大ごみ,50cm以内は不燃ごみへ。　持ち込む場合は粗大ごみ破砕処理場へ。,-,-,-,-
142034,ff0000000025,網戸の網（金属製）,金属（資源再生物）,,-,-,-,-
142034,ff0000000026,網戸の網（ﾌﾟﾗｽﾁｯｸ製）,可燃ごみ,30cm以内に裁断してください。,-,-,-,-
142034,ff0000000027,網戸の外枠,粗大ごみ,50cm以内は不燃ごみへ。　持ち込む場合は粗大ごみ破砕処理場へ。,-,-,-,-
142034,ff0000000028,ｱﾙﾊﾞﾑ,可燃ごみ,金属は外してください。外せない場合は不燃ごみへ。,-,-,-,-
142034,ff0000000029,ｱﾙﾐ缶,空き缶類（資源再生物）,,-,-,-,-
142034,ff0000000030,ｱﾙﾐ箔,可燃ごみ,,-,-,-,-
142034,ff0000000031,泡立てﾈｯﾄ,可燃ごみ,,-,-,-,-
142034,ff0000000032,ｱﾝﾃﾅ,不燃ごみ,1m超は粗大ごみへ。　持ち込む場合は粗大ごみ破砕処理場へ。,-,-,-,-
142034,ff0000000033,ｱﾝﾌﾟ,不燃ごみ,50cm超は粗大ごみへ。　持ち込む場合は粗大ごみ破砕処理場へ。,-,-,-,-
142034,ff0000000034,ETC車載ﾕﾆｯﾄ,小型家電,地区公民館及び中央公民館、市役所本館・別館、環境事業センター、リサイクルプラザ、資源回収センターに設置してある小型家電回収ボックスに投入してください。,-,-,-,-
142034,ff0000000035,石,処理困難物,販売店などの専門業者へご相談ください。,-,-,-,-
142034,ff0000000036,衣装ｹｰｽ,不燃ごみ,50cm超は粗大ごみへ。　持ち込む場合は粗大ごみ破砕処理場へ。,-,-,-,-
142034,ff0000000037,いす,粗大ごみ,50cm以内は不燃ごみへ。　持ち込む場合は粗大ごみ破砕処理場へ。,-,-,-,-
142034,ff0000000038,板,不燃ごみ,長さ1m以内、厚さ5cm以内,-,-,-,-
142034,ff0000000039,板ｶﾞﾗｽ,不燃ごみ,長さ1m以内、厚さ5cm以内,-,-,-,-
142034,ff0000000040,板くず,可燃ごみ,長さ30cm以内,-,-,-,-
142034,ff0000000041,一輪車（運搬用）※事業系を除く,粗大ごみ,持ち込む場合は粗大ごみ破砕処理場へ。,-,-,-,-
142034,ff0000000042,一輪車（遊具）,不燃ごみ,50cm超は粗大ごみへ。　持ち込む場合は粗大ごみ破砕処理場へ。,-,-,-,-
142034,ff0000000043,一升瓶,ビン（資源再生物）,販売店などに返却できる場合は、返却してください。,-,-,-,-
142034,ff0000000044,一升瓶（割れているもの）,不燃ごみ,,-,-,-,-
142034,ff0000000045,犬小屋,粗大ごみ,持ち込む場合は粗大ごみ破砕処理場へ。,-,-,-,-
142034,ff0000000046,ｲﾒｰｼﾞｽｷｬﾅ,小型家電,地区公民館及び中央公民館、市役所本館・別館、環境事業センター、リサイクルプラザ、資源回収センターに設置してある小型家電回収ボックスに投入してください。30cm超は不燃ごみへ。,-,-,-,-
142034,ff0000000047,医薬品（家庭用）,可燃ごみ,,-,-,-,-
142034,ff0000000048,医薬品（業務用）,処理困難物,販売店などの専門業者へご相談ください。,-,-,-,-
