ID,頭文字,品目名,小型家電回収対象,出し方,出し方のポイント
1,あ,アイスピック,,小さな金属類,尖った部分は新聞紙等で包む
2,あ,アイロン(プラスチック製),◎,燃やすごみ,
3,あ,アイロン(金属製),◎,小さな金属類,
4,あ,アイロン台,,粗大ごみ,マットのみ・木製で50cm未満のものは燃やすごみへ。プラスチックのみで50cm未満のものはプラスチック資源へ。金属製で30cm未満のものは小さな金属類へ
5,あ,雨合羽 あまがっぱ(ゴム・ビニール製),,燃やすごみ,リサイクル施設の故障原因になるため燃やすごみへ
6,あ,編み機,,粗大ごみ,
7,あ,アルバム,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
8,あ,アルミはく、アルミホイル,,燃やすごみ,
10,あ,足拭きマット,,燃やすごみ,"珪藻土製品で50㎝未満のものは燃えないごみ、50㎝以上のものは粗大ごみへ。
ただし、石綿(アスベスト)含有の珪藻土製品は、市では収集できません。回収方法等については、販売店・メーカーへお問合せください。詳しくは<a href=""https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/gomi-recycle/gomi/shushufuka/asubesuto.html"">市ホームページ</a>へ。"
11,あ,アンテナ,,粗大ごみ,金属製で30cm未満は小さな金属類
12,あ,アイスクリームの容器・包装(紙製),,燃やすごみ,アイスが直接入っていない外箱は古紙へ
13,あ,アイスクリームの容器・包装(プラスチック製),,プラスチック資源,
15,あ,アクセサリー,,小さな金属類,木製のものは燃やすごみへ。ガラス・陶器製のものは燃えないごみへ。プラスチックのみでできたものはプラスチック資源へ
16,あ,アクリルケース,,プラスチック資源,50㎝以上のものは粗大ごみへ
17,あ,アクリル製・プラスチック製の板,,プラスチック資源,50㎝以上のものは粗大ごみへ。50cm未満で板状や塊状で容易に曲げられないものは、リサイクル施設の故障原因になるため燃やすごみへ
18,あ,アコーディオンカーテン,,粗大ごみ,
19,あ,葦,,燃やすごみ,
20,あ,足ひれ(フィン),,燃やすごみ,50cm以上のものは粗大ごみへ
21,あ,アタッシュケース(金属製),,粗大ごみ,30㎝未満のものは小さな金属類へ。革製で50㎝未満のものは燃やすごみへ
22,あ,厚紙,,古紙(雑誌・その他の紙）,
23,あ,圧縮袋,,プラスチック資源,プラスチック製以外のものは燃やすごみへ
24,あ,雨戸,,粗大ごみ,
25,あ,網戸,,粗大ごみ,
26,あ,編み棒,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
27,あ,アルコールランプ(ガラス製),,燃えないごみ,金属製のものは小さな金属類へ。芯は燃やすごみへ。
28,あ,あんか・足温器,◎,燃やすごみ,金属製のものは小さな金属類へ
29,あ,安全ピン,,小さな金属類,
30,あ,アウトドア用椅子,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ 金属製以外のもので50㎝未満のものは燃やすごみへ
31,あ,雨どい,,粗大ごみ,50cm未満のものは燃やすごみへ
32,あ,網戸の網,,燃やすごみ,広げて50cm未満のものはプラスチック資源へ
33,あ,アルミバッグ(カメラ・パソコン用),,粗大ごみ,30cm未満のものは小さな金属類へ
34,あ,あく取り,,小さな金属類,プラスチックのみでできたものはプラスチック資源へ
35,あ,穴あけパンチ(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
36,あ,穴あけパンチ(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
37,あ,泡立て器(手動:プラスチック・シリコン製),,燃やすごみ,"金属製のものは小さな金属類へ
プラスチックのみでできたものはプラスチック資源へ"
38,あ,泡立て器(電動:金属製),◎,小さな金属類,
39,あ,泡立て器(電動:プラスチック製),◎,燃やすごみ,外せる金属製のパーツは小さな金属類へ
40,あ,アイスペール(ガラス製),,燃えないごみ,
41,あ,アイスの棒,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
42,あ,アンテナ基台(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
43,あ,ICレコーダー,◎,燃やすごみ,金属製のものは小さな金属類へ
44,あ,足蹴り乗用玩具(おもちゃ車),,粗大ごみ,プラスチックのみでできたもので50cm未満のものはプラスチック資源へ。木製で50cm未満のものは燃やすごみへ
45,あ,アルミホイルの芯,,古紙(雑誌・その他の紙）,
46,あ,アロマオイルの容器(ガラス製),,燃えないごみ,
47,あ,アロマオイルの容器(プラスチック製),,プラスチック資源,
48,あ,安全帯,,燃やすごみ,事業で排出するものは、事業系ごみ
49,あ,アイマスク,,燃やすごみ,
50,あ,青焼き,,古紙(雑誌・その他の紙）,
51,あ,アイスホッケー防具,,燃やすごみ,50cm以上のものは粗大ごみへ
52,あ,アイゼン,,小さな金属類,
53,あ,アトマイザー(香水噴霧器)のキャップ・ノズル,,プラスチック資源,
54,あ,アトマイザー(香水噴霧器:金属製),,小さな金属類,
55,あ,アトマイザー(香水噴霧器:プラスチック製),,プラスチック資源,
56,あ,あぶら取り紙,,燃やすごみ,未使用のものは古紙「雑誌・その他の紙」へ
58,あ,アロマポット(陶器・ガラス製),,燃えないごみ,新聞紙等に包み品名を表示する。プラスチック製のものは燃やすごみへ
59,あ,油紙,,古紙(雑誌・その他の紙）,
60,あ,アイスクリームメーカー(プラスチック製),,燃やすごみ,
63,あ,アイスクリームメーカー(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
65,あ,アイライナー・アイブロー,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ
66,あ,アイロンプリント紙,,燃やすごみ,
67,あ,あみじゃくし,,小さな金属類,
68,あ,アルミボックス,,小さな金属類,30cm以上のものは粗大ごみ
69,あ,アングル(鋼材),,粗大ごみ,30cm未満のものは小さな金属類
70,あ,アイスペール(金属製),,小さな金属類,
71,あ,アイスペール(プラスチック製),,プラスチック資源,
72,あ,アイロンマット,,燃やすごみ,アイロン台は粗大ごみへ(金属製30㎝以上、木・プラスチック製50㎝以上のもの)
73,あ,アルミマット,,燃やすごみ,折りたたんで50cm以上のものは粗大ごみへ
74,あ,アイロンケース(プラスチック製),,プラスチック資源,
75,あ,アームスタンド,,小さな金属類,30㎝以上のものは粗大ごみへ
77,あ,編み針,,燃やすごみ,プラスチックのみでできたものはプラスチック資源へ。金属製のものは小さな金属類へ
78,あ,泡立てネット,,プラスチック資源,プラスチック製以外のものは燃やすごみへ
